Ship Mode|Profit|Unit Price|Shipping Cost|Customer Name
Regular Air|-213.25|38.94|35|Muhammed MacIntyre
Delivery Truck|457.81|208.16|68.02|Barry French
Regular Air|46.71|8.69|2.99|Barry French
Regular Air|1198.97|195.99|3.99|Clay Rozendal
Regular Air|-4.72|5.28|2.99|Claudia Miner
Regular Air|782.91|39.89|3.04|Neola Schneider
Regular Air|93.80|15.74|1.39|Allen Rosenblatt
Delivery Truck|440.72|100.98|26.22|Sylvia Foulston
Regular Air|-481.04|100.98|69|Sylvia Foulston
Regular Air|-11.68|65.99|5.26|Jim Radford
Regular Air|313.58|155.99|8.99|Jim Radford
Express Air|26.92|3.69|0.5|Carlos Soltero
Regular Air|-5.77|4.71|0.7|Carlos Soltero
Regular Air|-172.88|15.99|13.18|Carl Ludwig
Regular Air|-144.55|4.89|4.93|Carl Ludwig
Regular Air|5.76|2.88|0.7|Don Miller
Regular Air|252.66|40.96|1.99|Jack Garza
Delivery Truck|-1766.01|95.95|74.35|Julia West
Regular Air|-236.27|3.89|7.01|Eugene Barchas
Delivery Truck|80.44|120.98|30|Eugene Barchas
Regular Air|118.94|500.98|5.76|Eugene Barchas
Delivery Truck|3424.22|500.98|26|Edward Hooks
Regular Air|-213.25|38.94|35|Muhammed MacIntyre
Delivery Truck|457.81|208.16|68.02|Barry French
Regular Air|46.71|8.69|2.99|Barry French
Regular Air|1198.97|195.99|3.99|Clay Rozendal
Regular Air|-4.72|5.28|2.99|Claudia Miner
Regular Air|782.91|39.89|3.04|Neola Schneider
Regular Air|93.80|15.74|1.39|Allen Rosenblatt
Delivery Truck|440.72|100.98|26.22|Sylvia Foulston
Regular Air|-481.04|100.98|69|Sylvia Foulston
Regular Air|-11.68|65.99|5.26|Jim Radford
Regular Air|313.58|155.99|8.99|Jim Radford
Express Air|26.92|3.69|0.5|Carlos Soltero
Regular Air|-5.77|4.71|0.7|Carlos Soltero
Regular Air|-172.88|15.99|13.18|Carl Ludwig
Regular Air|-144.55|4.89|4.93|Carl Ludwig
Regular Air|5.76|2.88|0.7|Don Miller
Regular Air|252.66|40.96|1.99|Jack Garza
Delivery Truck|-1766.01|95.95|74.35|Julia West
Regular Air|-236.27|3.89|7.01|Eugene Barchas
Delivery Truck|80.44|120.98|30|Eugene Barchas
Regular Air|118.94|500.98|5.76|Eugene Barchas
Delivery Truck|3424.22|500.98|26|Edward Hooks

Regular Air|-213.25|38.94|35|Muhammed MacIntyre
Delivery Truck|457.81|208.16|68.02|Barry French
Regular Air|46.71|8.69|2.99|Barry French
Regular Air|1198.97|195.99|3.99|Clay Rozendal
Regular Air|-4.72|5.28|2.99|Claudia Miner
Regular Air|782.91|39.89|3.04|Neola Schneider
Regular Air|93.80|15.74|1.39|Allen Rosenblatt
Delivery Truck|440.72|100.98|26.22|Sylvia Foulston
Regular Air|-481.04|100.98|69|Sylvia Foulston
Regular Air|-11.68|65.99|5.26|Jim Radford
Regular Air|313.58|155.99|8.99|Jim Radford
Express Air|26.92|3.69|0.5|Carlos Soltero
Regular Air|-5.77|4.71|0.7|Carlos Soltero
Regular Air|-172.88|15.99|13.18|Carl Ludwig
Regular Air|-144.55|4.89|4.93|Carl Ludwig
Regular Air|5.76|2.88|0.7|Don Miller
Regular Air|252.66|40.96|1.99|Jack Garza
Delivery Truck|-1766.01|95.95|74.35|Julia West
Regular Air|-236.27|3.89|7.01|Eugene Barchas
Delivery Truck|80.44|120.98|30|Eugene Barchas
Regular Air|118.94|500.98|5.76|Eugene Barchas
Delivery Truck|3424.22|500.98|26|Edward Hooks

Regular Air|-213.25|38.94|35|Muhammed MacIntyre
Delivery Truck|457.81|208.16|68.02|Barry French
Regular Air|46.71|8.69|2.99|Barry French
Regular Air|1198.97|195.99|3.99|Clay Rozendal
Regular Air|-4.72|5.28|2.99|Claudia Miner
Regular Air|782.91|39.89|3.04|Neola Schneider
Regular Air|93.80|15.74|1.39|Allen Rosenblatt
Delivery Truck|440.72|100.98|26.22|Sylvia Foulston
